코 드,적용일자,품 명,규 격,단 위,상한금액,제조회사,재 질,수입업소,급여구분,구분변경
B0005026,20250401,NYLON,5/0,1EA,1830,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0005090,20250401,FILAMIDE,5/0,1EA,1830,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0005104,20250401,SUPRAMID,5/0,1EA,1830,B.BRAUN SURGICAL SA,POLYAMIDE,비브라운코리아(주),급여,
B0005110,20250401,NYLON,5/0-6/0,1EA,1830,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0006001,20250401,SUTURE ETHILON (NYLON),6/0,1EA,1830,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0006002,20250401,SUTURE NYLON,6/0,1EA,1830,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0006003,20250401,SUTURE DERMALON,6/0,1EA,1830,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0006004,20250401,SUTURE DAFILON,6/0,1EA,1790,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0006005,20250401,MONOSOF,6/0,1EA,1830,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0006006,20250401,NYLON,6/0,1EA,1830,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0006008,20250401,WEGO-NYLON,6/0,1EA,1830,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0006010,20250401,NYLON,6/0,1EA,1830,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0006018,20250401,REXLON,6/0,1EA,1830,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0006022,20250401,FILAMIDE,6/0,1EA,1830,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0006026,20250401,NYLON,6/0,1EA,1830,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0006090,20250401,FILAMIDE,6/0,1EA,1830,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0007001,20250401,SUTURE ETHILON(NYLON),7/0,1EA,5630,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0007002,20250401,SUTURE NYLON,7/0,1EA,5630,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0007003,20250401,SUTURE DERMALON,7/0,1EA,5630,DAVIS&GECK,NYLON,메드트로닉코리아,급여,
B0007005,20250401,MONOSOF,7/0,1EA,5630,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0007006,20250401,NYLON,7/0,1EA,5420,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0007008,20250401,WEGO-NYLON,7/0,1EA,5630,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0007010,20250401,NYLON,7/0,1EA,5630,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0007018,20250401,REXLON,7/0,1EA,5630,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0007026,20250401,NYLON,7/0,1EA,5630,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0007110,20250401,NYLON,7/0-8/0,1EA,5630,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0008001,20250401,SUTURE ETHILON (NYLON),8/0,1EA,5630,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0008002,20250401,SUTURE NYLON,8/0,1EA,5630,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0008004,20250401,NYLON BLACK,8/0,1EA,5630,B.BRAUN SURGICAL S.A.,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0008006,20250401,NYLON,8/0,1EA,5630,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0008008,20250401,WEGO-NYLON,8/0,1EA,5630,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0008010,20250401,NYLON,8/0,1EA,5630,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0008018,20250401,REXLON,8/0,1EA,5630,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0008022,20250401,FILAMIDE,8/0,1EA,5630,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0008026,20250401,NYLON,8/0,1EA,5630,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0008090,20250401,FILAMIDE,8/0,1EA,5630,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0009001,20250401,ETHILON,9/0/ DOUBLE NEEDLE,1EA,13750,ETHICON INC.,NYLON(POLYAMIDE),한국존슨앤드존슨메디칼,급여,
B0009006,20250401,NYLON,9/0 DOUBLE NEEDLE,1EA,13750,AILEE,NYLON(POLYAMIDE),아이리,급여,
B0009010,20250401,NYLON,7/0-8/0/DOUBLE NEEDLE,1EA,9790,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0009013,20250401,NYLON,2/0 DOUBLE NEEDLE,1EA,2750,SEARCH MEDICAL CO./ LTD,NYLON,㈜서치메디컬,급여,
B0009021,20250401,US-9002LZN,9/0 DOUBLE NEEDLE,1EA,13750,US.IOL INC,YLON(POLYAMIDE),서광크리스탈㈜,급여,
B0009108,20250401,WEGO-NYLON,1/0 DOUBLE NEEDLE,1EA,2750,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0009205,20250401,MONOSOF,2/0 DOUBLE NEEDLE,1EA,2750,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0009501,20250401,SUTURE ETHILON(NYLON),5/0 DOUBLE NEEDLE,1EA,3760,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0009506,20250401,NYLON,5/0 DOUBLE NEEDLE,1EA,3760,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0009508,20250401,WEGO-NYLON,5/0 DOUBLE NEEDLE,1EA,3760,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0009510,20250401,NYLON,5/0 DOUBLE NEEDLE,1EA,3760,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0009601,20250401,SUTURE ETHILON(NYLON),6/0 DOUBLE NEEDLE,1EA,3760,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0009606,20250401,NYLON,6/0 DOUBLE NEEDLE,1EA,3760,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0009608,20250401,WEGO-NYLON,6/0 DOUBLE NEEDLE,1EA,3760,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0009610,20250401,NYLON,6/0 DOUBLE NEEDLE,1EA,3760,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0009626,20250401,NYLON,6/0 DOUBLE NEEDLE,1EA,3760,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0009706,20250401,NYLON,7/0 DOUBLE NEEDLE,1EA,9790,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0009708,20250401,WEGO-NYLON,7/0 DOUBLE NEEDLE,1EA,9790,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0009710,20250401,NYLON,7/0 DOUBLE NEEDLE,1EA,9790,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0009718,20250401,REXLON,7/0 DOUBLE NEEDLE,1EA,9790,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0009726,20250401,NYLON,7/0 DOUBLE NEEDLE,1EA,9790,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0009801,20250401,SUTURE ETHILON (NYLON),8/0 DOUBLE NEEDLE,1EA,9790,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0009802,20250401,SUTURE NYLON,8/0 DOUBLE NEEDLE,1EA,9790,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0009804,20250401,DAFILON,8/0 DOUBLE NEEDLE,1EA,9790,B.BRAUN SURGICAL S.A.,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0009806,20250401,NYLON,8/0 DOUBLE NEEDLE,1EA,9790,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0009808,20250401,WEGO-NYLON,8/0 DOUBLE NEEDLE,1EA,9790,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0009826,20250401,NYLON,8/0 DOUBLE NEEDLE,1EA,9790,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0009904,20250401,DAFILON,9/0 DOUBLE NEEDLE,1EA,13750,B.BRAUN SURGICAL S.A.,NYLON(POLYAMIDE),비브라운코리아,급여,
B0009918,20250401,REXLON,9/0-10/0/ DOUBLE NEEDLE,1EA,13750,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0009919,20250401,NYLON,9/0 DOUBLE NEEDLE,1EA,13750,ALCON LABORATORIES/INC,NYLON(POLYAMIDE),한국알콘,급여,
B0010001@,20250401,ETHILON,10/0 DOUBLE NEEDLE,1EA,13750,ETHICON INC.,NYLON(POLYAMIDE),한국존슨앤드존슨메디칼,급여,
B0010004@,20250401,DAFILON,10/0 DOUBLE NEEDLE,1EA,13750,B.BRAUN SURGICAL S.A.,NYLON(POLYAMIDE),비브라운코리아,급여,
B0010005,20250401,MONOSOF,10/0 DOUBLE NEEDLE,1EA,13750,COVIDIEN LLC.,NYLON(POLYAMIDE),메드트로닉코리아,급여,
B0010006,20250401,NYLON,10/0 DOUBLE NEEDLE,1EA,13750,AILEE,NYLON(POLYAMIDE),아이리,급여,
B0010019,20250401,NYLON,10/0 DOUBLE NEEDLE,1EA,13750,ALCON LABORATORIES/INC,NYLON(POLYAMIDE),한국알콘,급여,
B0010021,20250401,US-1002LZN,10/0 DOUBLE NEEDLE,1EA,13750,USIOL/INC,NYLON(POLYAMIDE),서광크리스탈㈜,급여,
B0010022,20250401,MANI SUTURES,10/0 DOUBLE NEEDLE,1EA,13750,MANI/INC,NYLON(POLYAMIDE),지원메디칼,급여,
B0011001,20250401,SUTURE MERSILK,1/0,1EA,1510,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011002,20250401,SILK,1/0,1EA,1510,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011004,20250401,SILKAM,1/0,1EA,1510,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011005,20250401,SOFSILK,1/0,1EA,1510,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011006,20250401,SILK,1/0,1EA,1510,AILEE,BRAIDED SILK,아이리,급여,
B0011011,20250401,MERSILK,5/0 (NON NEEDLE),1EA,227,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011013,20250401,SLIK,1/0,1EA,1510,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
B0011018,20250401,REXSIL,1/0,1EA,1510,SM ENG.,SILK,에스엠이엔지,급여,
B0011022,20250401,FILASILK,1/0,1EA,1510,MERIL ENDO SURGERY PVT. LTD. ,SILK FIBROIN,코아엠,급여,
B0011026,20250401,SILK,1(NON NEEDLE),1EA,227,MONOMEDIC,SILK,(주)모노메딕,급여,
B0011090,20250401,FILASILK,1/0,1EA,1510,MERIL ENDO SURGERY PVT. LTD.,SILK FIBROIN/ STAINLESS STEEL,메릴사우스코리아 유한회사,급여,
B0011101,20250401,SUTURE MERSILK,1/0 (NON NEEDLE),1EA,227,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011102,20250401,SILK,1/0 (NON NEEDLE),1EA,227,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011104,20250401,SILKAM,1/0 (NON NEEDLE),1EA,227,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011105,20250401,SOFSILK,1/0 (NON NEEDLE),1EA,227,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011106,20250401,SILK,1/0 (NON NEEDLE),1EA,227,AILEE,BRAIDED SILK,아이리,급여,
B0011113,20250401,SLIK,1/0 (NON NEEDLE),1EA,227,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
B0011118,20250401,REXSIL,1/0 (NON NEEDLE),1EA,227,SM ENG.,SILK,에스엠이엔지,급여,
B0011122,20250401,FILASILK,1/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD. ,SILK FIBROIN,코아엠,급여,
B0011126,20250401,SILK,1/0 (NON NEEDLE),1EA,227,MONOMEDIC,SILK,(주)모노메딕,급여,
B0011190,20250401,FILASILK,1/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD.,SILK FIBROIN,메릴사우스코리아 유한회사,급여,
B0011201,20250401,SUTURE MERSILK,2/0 (NON NEEDLE),1EA,227,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011202,20250401,SILK,2/0 (NON NEEDLE),1EA,227,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011204,20250401,SILKAM,2/0 (NON NEEDLE),1EA,196,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011205,20250401,SOFSILK,2/0 (NON NEEDLE),1EA,227,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011206,20250401,SILK,2/0 (NON NEEDLE),1EA,223,AILEE,BRAIDED SILK,아이리,급여,
B0011213,20250401,SLIK,2/0 (NON NEEDLE),1EA,227,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
B0011218,20250401,REXSIL,2/0 (NON NEEDLE),1EA,227,SM ENG.,SILK,에스엠이엔지,급여,
B0011222,20250401,FILASILK,2/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD. ,SILK FIBROIN,코아엠,급여,
B0011226,20250401,SILK,2/0 (NON NEEDLE),1EA,227,MONOMEDIC,SILK,(주)모노메딕,급여,
B0011290,20250401,FILASILK,2/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD.,SILK FIBROIN,메릴사우스코리아 유한회사,급여,
B0011301,20250401,SUTURE MERSILK,3/0 (NON NEEDLE),1EA,227,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011302,20250401,SILK,3/0 (NON NEEDLE),1EA,227,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011304,20250401,SILKAM,3/0 (NON NEEDLE),1EA,208,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011305,20250401,SOFSILK,3/0 (NON NEEDLE),1EA,227,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011306,20250401,SILK,3/0 (NON NEEDLE),1EA,222,AILEE,BRAIDED SILK,아이리,급여,
B0011313,20250401,SLIK,3/0 (NON NEEDLE),1EA,227,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
B0011318,20250401,REXSIL,3/0 (NON NEEDLE),1EA,227,SM ENG.,SILK,에스엠이엔지,급여,
B0011322,20250401,FILASILK,3/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD. ,SILK FIBROIN,코아엠,급여,
B0011326,20250401,SILK,3/0 (NON NEEDLE),1EA,227,MONOMEDIC,SILK,(주)모노메딕,급여,
B0011390,20250401,FILASILK,3/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD.,SILK FIBROIN,메릴사우스코리아 유한회사,급여,
B0011401,20250401,SUTURE MERSILK,4/0 (NON NEEDLE),1EA,227,ETHICON,BRAIDED SILK,한국존슨앤드존슨메디칼,급여,
B0011402,20250401,SILK,4/0 (NON NEEDLE),1EA,227,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011404,20250401,SILKAM,4/0 (NON NEEDLE),1EA,227,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011405,20250401,SOFSILK,4/0 (NON NEEDLE),1EA,227,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011406,20250401,SILK,4/0 (NON NEEDLE),1EA,227,AILEE,BRAIDED SILK,아이리,급여,
B0011413,20250401,SLIK,4/0 (NON NEEDLE),1EA,227,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
B0011418,20250401,REXSIL,4/0 (NON NEEDLE),1EA,227,SM ENG.,SILK,에스엠이엔지,급여,
B0011422,20250401,FILASILK,4/0 (NON NEEDLE),1EA,227,MERIL ENDO SURGERY PVT. LTD.,SILK FIBROIN,코아엠,급여,
B0011426,20250401,SILK,4/0 (NON NEEDLE),1EA,227,MONOMEDIC,SILK,(주)모노메딕,급여,
B0011502,20250401,SILK,5/0 (NON NEEDLE),1EA,227,WOORHI MEDICAL,BRAIDED SILK,우리메디칼,급여,
B0011504,20250401,SILKAM,5/0 (NON NEEDLE),1EA,227,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0011505,20250401,SOFSILK,5/0 (NON NEEDLE),1EA,227,COVIDIEN LLC.,BRAIDED SILK,메드트로닉코리아,급여,
B0011506,20250401,SILK,5/0 (NON NEEDLE),1EA,227,AILEE,BRAIDED SILK,아이리,급여,
B0011513,20250401,SLIK,5/0 (NON NEEDLE),1EA,227,SEARCH MEDICAL CO./ LTD,SLIK,㈜서치메디컬,급여,
