코 드,적용일자,급여구분,상한가,사용장려비,투여경로,품명,규 격,단 위,제약회사명,분류번호,주성분코드,전문/일반,퇴장방지구분,약품동등구분,저가약대체여부,예외의약구분,임의조제불가,고시일자,대응코드,희귀의약품구분,
058200250,2026-01-01,급여,339,,내복,로바가정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정),1,정,(주)아리제약,218,454001ATB,전문의약품,,,,,,2025-12-24,,,
058200330,2026-01-01,급여,224,,내복,암베산정5밀리그램(암로디핀베실산염)_(6.944mg/1정),1,정,(주)아리제약,214,107601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
058200560,2026-01-01,급여,456,,내복,아도페정5밀리그램(도네페질염산염수화물)_(5.215mg/1정),1,정,(주)아리제약,119,148602ATB,전문의약품,,,,,,2025-12-24,,,
058200620,2026-01-01,급여,528,,내복,아도페정10밀리그램(도네페질염산염수화물)_(10.43mg/1정),1,정,(주)아리제약,119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
059001290,2026-01-01,급여,90,,내복,가스토렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정),1,정,주식회사케이에스제약,232,430101ATB,전문의약품,,,,,,2025-12-24,,,
059400011,2026-01-01,급여,14171,,주사,메펨큐주1그램(메로페넴수화물)_(1.208g/1병),1,병,(주)비씨월드헬스케어,618,190703BIJ,전문의약품,,,,,,2025-12-24,,,
059400021,2026-01-01,급여,10556,,주사,메펨큐주500밀리그램(메로페넴수화물)_(0.604g/1병),1,병,(주)비씨월드헬스케어,618,190702BIJ,전문의약품,,,,,,2025-12-24,,,
059400031,2026-01-01,급여,9152,,주사,이펨큐주500밀리그램_(1병),1,병,(주)비씨월드헬스케어,618,329400BIJ,전문의약품,,,,,,2025-12-24,,,
059600020,2026-01-01,급여,187,,내복,페북손정40밀리그램(페북소스타트)_(40mg/1정),1,정,(주)킴스제약,394,567403ATB,전문의약품,,,,,,2025-12-24,,,
073000821,2026-01-01,급여,6898,,주사,건타박신주4.5그램(피페라실린나트륨.타조박탐나트륨)_(1병),1,병,건일바이오팜주식회사,618,329600BIJ,전문의약품,,,,,,2025-12-24,,,
073000850,2026-01-01,급여,1351,,내복,리플록신정500밀리그램(레보플록사신수화물)_(0.5123g/1정),1,정,건일바이오팜주식회사,629,183203ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073001050,2026-01-01,급여,558,,내복,두모보연질캡슐0.5밀리그램(두타스테리드)_(0.5mg/1캡슐),1,캡슐,건일바이오팜주식회사,259,458801ACS,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100010,2026-01-01,급여,935,,내복,코자엑스큐정5/100밀리그램_(1정),1,정,한국오가논(주),214,502700ATB,전문의약품,,,,,,2025-12-24,,,
073100020,2026-01-01,급여,737,,내복,이지트롤정(에제티미브)_(10mg/1정),1,정,한국오가논(주),218,462201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100030,2026-01-01,급여,780,,내복,코자엑스큐정5/50밀리그램_(1정),1,정,한국오가논(주),214,503000ATB,전문의약품,,,,,,2025-12-24,,,
073100051,2026-01-01,급여,10633,,외용,나조넥스나잘스프레이(모메타손푸로에이트)_(7mg/140회),140,회/통,한국오가논(주),132,361331CSI,전문의약품,,,,,,2025-12-24,,,
073100070,2026-01-01,급여,1087,,내복,바이토린정10/20_(1정),1,정,한국오가논(주),218,471100ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100081,2026-01-01,급여,93829,,주사,퓨레곤펜주(폴리트로핀베타/재조합난포자극호르몬)_(300I.U/1펜),300,I.U/펜,한국오가논(주),249,162804BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
073100091,2026-01-01,급여,164673,,주사,퓨레곤펜주(폴리트로핀베타/재조합난포자극호르몬)_(600I.U/1펜),600,I.U/펜,한국오가논(주),249,162803BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
073100101,2026-01-01,급여,208367,,주사,퓨레곤펜주(폴리트로핀베타/재조합난포자극호르몬)_(900I.U/1펜),900,I.U/펜,한국오가논(주),249,162805BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
073100120,2026-01-01,급여,779,,내복,바이토린정10/10_(1정),1,정,한국오가논(주),218,471000ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100150,2026-01-01,급여,632,,내복,레메론솔탭정15밀리그램(제피미르타자핀)_(15mg/1정),1,정,한국오가논(주),117,196201ATD,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100161,2026-01-01,급여,2887,,외용,에로콤크림(모메타손푸로에이트)_(15mg/15g),15,g/개,한국오가논(주),264,361333CCM,전문의약품,,,,,,2025-12-24,,,
073100170,2026-01-01,급여,764,,내복,레메론솔탭정30밀리그램(제피미르타자핀)_(30mg/1정),1,정,한국오가논(주),117,196202ATD,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100190,2026-01-01,급여,757,,내복,싱귤레어정10밀리그램(몬테루카스트나트륨)_(10.4mg/1정),1,정,한국오가논(주),149,374602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100200,2026-01-01,급여,757,,내복,싱귤레어츄정5밀리그램(몬테루카스트나트륨)_(5.2mg/1정),1,정,한국오가논(주),149,374601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100210,2026-01-01,급여,721,,내복,프로스카정(피나스테리드)_(5mg/1정),1,정,한국오가논(주),259,159001ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100220,2026-01-01,급여,474,,내복,코자정(로사르탄칼륨)_(50mg/1정),1,정,한국오가논(주),214,185701ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100240,2026-01-01,급여,630,,내복,조코정20밀리그램(심바스타틴)_(20mg/1정),1,정,한국오가논(주),218,227801ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100250,2026-01-01,급여,907,,내복,코자정100밀리그램(로사르탄칼륨)_(0.1g/1정),1,정,한국오가논(주),214,185702ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100260,2026-01-01,급여,675,,내복,조코정40밀리그램(심바스타틴)_(40mg/1정),1,정,한국오가논(주),218,227802ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100270,2026-01-01,급여,5119,,내복,포사맥스70밀리그램정(알렌드론산나트륨)_(91.37mg/1정),1,정,한국오가논(주),399,228303ATB,전문의약품,,,,,,2025-12-24,,,
073100280,2026-01-01,급여,5280,,내복,포사맥스플러스디정_(1정),1,정,한국오가논(주),399,500200ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100290,2026-01-01,급여,5247,,내복,포사맥스플러스정_(1정),1,정,한국오가논(주),399,481100ATB,전문의약품,,,,,,2025-12-24,,,
073100301,2026-01-01,급여,690,,내복,싱귤레어세립4밀리그램(몬테루카스트나트륨)_(4.16mg/1포),1,포,한국오가논(주),149,374603AGN,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100320,2026-01-01,급여,695,,내복,레메론정15밀리그램(미르타자핀)_(15mg/1정),1,정,한국오가논(주),117,196201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073100330,2026-01-01,급여,843,,내복,레메론정30밀리그램(미르타자핀)_(30mg/1정),1,정,한국오가논(주),117,196202ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400030,2026-01-01,급여,695,,내복,이팩사엑스알서방캡슐75밀리그램_(벤라팍신염산염/ 84.85mg/1캡슐),1,캡슐,비아트리스코리아(주),117,247502ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400040,2026-01-01,급여,556,,내복,이팩사엑스알서방캡슐37.5밀리그램_(벤라팍신염산염/ 42.43mg/1캡슐),1,캡슐,비아트리스코리아(주),117,247504ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400060,2026-01-01,급여,306,,내복,카두라엑스엘서방정4mg(독사조신메실산염)_(5.093mg/1정),1,정,비아트리스코리아(주),214,149104ATR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400080,2026-01-01,급여,921,,내복,디트루시톨SR캡슐4밀리그람(톨터로딘-L-타르타르산염)_(4mg/1캡슐),1,캡슐,비아트리스코리아(주),259,357103ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400090,2026-01-01,급여,2023,,내복,젤독스캡슐20밀리그램(염산지프라시돈일수화물)_(22.65mg/1캡슐),1,캡슐,비아트리스코리아(주),117,464901ACH,전문의약품,,,,,,2025-12-24,,,
073400100,2026-01-01,급여,2326,,내복,젤독스캡슐60밀리그램(염산지프라시돈일수화물)_(67.95mg/1캡슐),1,캡슐,비아트리스코리아(주),117,464903ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400110,2026-01-01,급여,2699,,내복,젤독스캡슐80밀리그램(염산지프라시돈일수화물)_(90.6mg/1캡슐),1,캡슐,비아트리스코리아(주),117,464904ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
073400120,2026-01-01,급여,2088,,내복,젤독스캡슐40밀리그램(염산지프라시돈일수화물)_(45.3mg/1캡슐),1,캡슐,비아트리스코리아(주),117,464902ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
